
Dafny program verifier finished with 19 verified, 0 errors
=== GACHA WEAPON DATABASE ===
Total: 525

Sharp Edge | ATK:40 | ATK%:6 | Ref:R1 [3star]
Prototype Sharp Shot | ATK:41 | ATK%:9 | Ref:R1 [4star]
Prototype Sharp Shot R2 | ATK:41 | ATK%:18 | Ref:R2 [4star]
Prototype Sharp Shot R3 | ATK:41 | ATK%:27 | Ref:R3 [4star]
Prototype Sharp Shot R4 | ATK:41 | ATK%:36 | Ref:R4 [4star]
Prototype Sharp Shot R5 | ATK:41 | ATK%:45 | Ref:R5 [4star]
Prototype Keen Shot | ATK:41 | CritRate:6 | Ref:R1 [4star]
Prototype Keen Shot R2 | ATK:41 | CritRate:12 | Ref:R2 [4star]
Prototype Keen Shot R3 | ATK:41 | CritRate:18 | Ref:R3 [4star]
Prototype Keen Shot R4 | ATK:41 | CritRate:24 | Ref:R4 [4star]
Prototype Keen Shot R5 | ATK:41 | CritRate:30 | Ref:R5 [4star]
Prototype Lethal Shot | ATK:41 | CritDMG:12 | Ref:R1 [4star]
Prototype Lethal Shot R2 | ATK:41 | CritDMG:24 | Ref:R2 [4star]
Prototype Lethal Shot R3 | ATK:41 | CritDMG:36 | Ref:R3 [4star]
Prototype Lethal Shot R4 | ATK:41 | CritDMG:48 | Ref:R4 [4star]
Prototype Lethal Shot R5 | ATK:41 | CritDMG:60 | Ref:R5 [4star]
Prototype Ancient Shot | ATK:41 | EM:36 | Ref:R1 [4star]
Prototype Ancient Shot R2 | ATK:41 | EM:72 | Ref:R2 [4star]
Prototype Ancient Shot R3 | ATK:41 | EM:108 | Ref:R3 [4star]
Prototype Ancient Shot R4 | ATK:41 | EM:144 | Ref:R4 [4star]
Prototype Ancient Shot R5 | ATK:41 | EM:180 | Ref:R5 [4star]
Prototype Flowing Shot | ATK:41 | ER:10 | Ref:R1 [4star]
Prototype Flowing Shot R2 | ATK:41 | ER:20 | Ref:R2 [4star]
Prototype Flowing Shot R3 | ATK:41 | ER:30 | Ref:R3 [4star]
Prototype Flowing Shot R4 | ATK:41 | ER:40 | Ref:R4 [4star]
Prototype Flowing Shot R5 | ATK:41 | ER:50 | Ref:R5 [4star]
Prototype Sturdy Shot | ATK:41 | HP%:9 | Ref:R1 [4star]
Prototype Sturdy Shot R2 | ATK:41 | HP%:18 | Ref:R2 [4star]
Prototype Sturdy Shot R3 | ATK:41 | HP%:27 | Ref:R3 [4star]
Prototype Sturdy Shot R4 | ATK:41 | HP%:36 | Ref:R4 [4star]
Prototype Sturdy Shot R5 | ATK:41 | HP%:45 | Ref:R5 [4star]
Prototype Guarded Shot | ATK:41 | DEF%:11 | Ref:R1 [4star]
Prototype Guarded Shot R2 | ATK:41 | DEF%:22 | Ref:R2 [4star]
Prototype Guarded Shot R3 | ATK:41 | DEF%:33 | Ref:R3 [4star]
Prototype Guarded Shot R4 | ATK:41 | DEF%:44 | Ref:R4 [4star]
Prototype Guarded Shot R5 | ATK:41 | DEF%:55 | Ref:R5 [4star]
Primordial Sharp Shot | ATK:46 | ATK%:11 | Ref:R1 [5star]
Primordial Sharp Shot R2 | ATK:46 | ATK%:22 | Ref:R2 [5star]
Primordial Sharp Shot R3 | ATK:46 | ATK%:33 | Ref:R3 [5star]
Primordial Sharp Shot R4 | ATK:46 | ATK%:44 | Ref:R4 [5star]
Primordial Sharp Shot R5 | ATK:46 | ATK%:55 | Ref:R5 [5star]
Primordial Keen Shot | ATK:46 | CritRate:7 | Ref:R1 [5star]
Primordial Keen Shot R2 | ATK:46 | CritRate:14 | Ref:R2 [5star]
Primordial Keen Shot R3 | ATK:46 | CritRate:21 | Ref:R3 [5star]
Primordial Keen Shot R4 | ATK:46 | CritRate:28 | Ref:R4 [5star]
Primordial Keen Shot R5 | ATK:46 | CritRate:35 | Ref:R5 [5star]
Primordial Lethal Shot | ATK:46 | CritDMG:14 | Ref:R1 [5star]
Primordial Lethal Shot R2 | ATK:46 | CritDMG:28 | Ref:R2 [5star]
Primordial Lethal Shot R3 | ATK:46 | CritDMG:42 | Ref:R3 [5star]
Primordial Lethal Shot R4 | ATK:46 | CritDMG:56 | Ref:R4 [5star]
Primordial Lethal Shot R5 | ATK:46 | CritDMG:70 | Ref:R5 [5star]
Primordial Ancient Shot | ATK:46 | EM:44 | Ref:R1 [5star]
Primordial Ancient Shot R2 | ATK:46 | EM:88 | Ref:R2 [5star]
Primordial Ancient Shot R3 | ATK:46 | EM:132 | Ref:R3 [5star]
Primordial Ancient Shot R4 | ATK:46 | EM:176 | Ref:R4 [5star]
Primordial Ancient Shot R5 | ATK:46 | EM:220 | Ref:R5 [5star]
Primordial Flowing Shot | ATK:46 | ER:12 | Ref:R1 [5star]
Primordial Flowing Shot R2 | ATK:46 | ER:24 | Ref:R2 [5star]
Primordial Flowing Shot R3 | ATK:46 | ER:36 | Ref:R3 [5star]
Primordial Flowing Shot R4 | ATK:46 | ER:48 | Ref:R4 [5star]
Primordial Flowing Shot R5 | ATK:46 | ER:60 | Ref:R5 [5star]
Primordial Sturdy Shot | ATK:46 | HP%:11 | Ref:R1 [5star]
Primordial Sturdy Shot R2 | ATK:46 | HP%:22 | Ref:R2 [5star]
Primordial Sturdy Shot R3 | ATK:46 | HP%:33 | Ref:R3 [5star]
Primordial Sturdy Shot R4 | ATK:46 | HP%:44 | Ref:R4 [5star]
Primordial Sturdy Shot R5 | ATK:46 | HP%:55 | Ref:R5 [5star]
Primordial Guarded Shot | ATK:46 | DEF%:13 | Ref:R1 [5star]
Primordial Guarded Shot R2 | ATK:46 | DEF%:26 | Ref:R2 [5star]
Primordial Guarded Shot R3 | ATK:46 | DEF%:39 | Ref:R3 [5star]
Primordial Guarded Shot R4 | ATK:46 | DEF%:52 | Ref:R4 [5star]
Primordial Guarded Shot R5 | ATK:46 | DEF%:65 | Ref:R5 [5star]

Sharp Tome | ATK:33 | ATK%:6 | Ref:R1 [3star]
Sharp Tome R2 | ATK:33 | ATK%:12 | Ref:R2 [3star]
Sharp Tome R3 | ATK:33 | ATK%:18 | Ref:R3 [3star]
Sharp Tome R4 | ATK:33 | ATK%:24 | Ref:R4 [3star]
Sharp Tome R5 | ATK:33 | ATK%:30 | Ref:R5 [3star]
Keen Tome | ATK:33 | CritRate:4 | Ref:R1 [3star]
Keen Tome R2 | ATK:33 | CritRate:8 | Ref:R2 [3star]
Keen Tome R3 | ATK:33 | CritRate:12 | Ref:R3 [3star]
Keen Tome R4 | ATK:33 | CritRate:16 | Ref:R4 [3star]
Keen Tome R5 | ATK:33 | CritRate:20 | Ref:R5 [3star]
Lethal Tome | ATK:33 | CritDMG:8 | Ref:R1 [3star]
Lethal Tome R2 | ATK:33 | CritDMG:16 | Ref:R2 [3star]
Lethal Tome R3 | ATK:33 | CritDMG:24 | Ref:R3 [3star]
Lethal Tome R4 | ATK:33 | CritDMG:32 | Ref:R4 [3star]
Lethal Tome R5 | ATK:33 | CritDMG:40 | Ref:R5 [3star]
Ancient Tome | ATK:33 | EM:20 | Ref:R1 [3star]
Ancient Tome R2 | ATK:33 | EM:40 | Ref:R2 [3star]
Ancient Tome R3 | ATK:33 | EM:60 | Ref:R3 [3star]
Ancient Tome R4 | ATK:33 | EM:80 | Ref:R4 [3star]
Ancient Tome R5 | ATK:33 | EM:100 | Ref:R5 [3star]
Flowing Tome | ATK:33 | ER:7 | Ref:R1 [3star]
Flowing Tome R2 | ATK:33 | ER:14 | Ref:R2 [3star]
Flowing Tome R3 | ATK:33 | ER:21 | Ref:R3 [3star]
Flowing Tome R4 | ATK:33 | ER:28 | Ref:R4 [3star]
Flowing Tome R5 | ATK:33 | ER:35 | Ref:R5 [3star]
Sturdy Tome | ATK:33 | HP%:6 | Ref:R1 [3star]
Sturdy Tome R2 | ATK:33 | HP%:12 | Ref:R2 [3star]
Sturdy Tome R3 | ATK:33 | HP%:18 | Ref:R3 [3star]
Sturdy Tome R4 | ATK:33 | HP%:24 | Ref:R4 [3star]
Sturdy Tome R5 | ATK:33 | HP%:30 | Ref:R5 [3star]
Guarded Tome | ATK:33 | DEF%:7 | Ref:R1 [3star]
Guarded Tome R2 | ATK:33 | DEF%:14 | Ref:R2 [3star]
Guarded Tome R3 | ATK:33 | DEF%:21 | Ref:R3 [3star]
Guarded Tome R4 | ATK:33 | DEF%:28 | Ref:R4 [3star]
Guarded Tome R5 | ATK:33 | DEF%:35 | Ref:R5 [3star]
Prototype Sharp Tome | ATK:42 | ATK%:9 | Ref:R1 [4star]
Prototype Sharp Tome R2 | ATK:42 | ATK%:18 | Ref:R2 [4star]
Prototype Sharp Tome R3 | ATK:42 | ATK%:27 | Ref:R3 [4star]
Prototype Sharp Tome R4 | ATK:42 | ATK%:36 | Ref:R4 [4star]
Prototype Sharp Tome R5 | ATK:42 | ATK%:45 | Ref:R5 [4star]
Prototype Keen Tome | ATK:42 | CritRate:6 | Ref:R1 [4star]
Prototype Keen Tome R2 | ATK:42 | CritRate:12 | Ref:R2 [4star]
Prototype Keen Tome R3 | ATK:42 | CritRate:18 | Ref:R3 [4star]
Prototype Keen Tome R4 | ATK:42 | CritRate:24 | Ref:R4 [4star]
Prototype Keen Tome R5 | ATK:42 | CritRate:30 | Ref:R5 [4star]
Prototype Lethal Tome | ATK:42 | CritDMG:12 | Ref:R1 [4star]
Prototype Lethal Tome R2 | ATK:42 | CritDMG:24 | Ref:R2 [4star]
Prototype Lethal Tome R3 | ATK:42 | CritDMG:36 | Ref:R3 [4star]
Prototype Lethal Tome R4 | ATK:42 | CritDMG:48 | Ref:R4 [4star]
Prototype Lethal Tome R5 | ATK:42 | CritDMG:60 | Ref:R5 [4star]
Prototype Ancient Tome | ATK:42 | EM:36 | Ref:R1 [4star]
Prototype Ancient Tome R2 | ATK:42 | EM:72 | Ref:R2 [4star]
Prototype Ancient Tome R3 | ATK:42 | EM:108 | Ref:R3 [4star]
Prototype Ancient Tome R4 | ATK:42 | EM:144 | Ref:R4 [4star]
Prototype Ancient Tome R5 | ATK:42 | EM:180 | Ref:R5 [4star]
Prototype Flowing Tome | ATK:42 | ER:10 | Ref:R1 [4star]
Prototype Flowing Tome R2 | ATK:42 | ER:20 | Ref:R2 [4star]
Prototype Flowing Tome R3 | ATK:42 | ER:30 | Ref:R3 [4star]
Prototype Flowing Tome R4 | ATK:42 | ER:40 | Ref:R4 [4star]
Prototype Flowing Tome R5 | ATK:42 | ER:50 | Ref:R5 [4star]
Prototype Sturdy Tome | ATK:42 | HP%:9 | Ref:R1 [4star]
Prototype Sturdy Tome R2 | ATK:42 | HP%:18 | Ref:R2 [4star]
Prototype Sturdy Tome R3 | ATK:42 | HP%:27 | Ref:R3 [4star]
Prototype Sturdy Tome R4 | ATK:42 | HP%:36 | Ref:R4 [4star]
Prototype Sturdy Tome R5 | ATK:42 | HP%:45 | Ref:R5 [4star]
Prototype Guarded Tome | ATK:42 | DEF%:11 | Ref:R1 [4star]
Prototype Guarded Tome R2 | ATK:42 | DEF%:22 | Ref:R2 [4star]
Prototype Guarded Tome R3 | ATK:42 | DEF%:33 | Ref:R3 [4star]
Prototype Guarded Tome R4 | ATK:42 | DEF%:44 | Ref:R4 [4star]
Prototype Guarded Tome R5 | ATK:42 | DEF%:55 | Ref:R5 [4star]
Primordial Sharp Tome | ATK:49 | ATK%:11 | Ref:R1 [5star]
Primordial Sharp Tome R2 | ATK:49 | ATK%:22 | Ref:R2 [5star]
Primordial Sharp Tome R3 | ATK:49 | ATK%:33 | Ref:R3 [5star]
Primordial Sharp Tome R4 | ATK:49 | ATK%:44 | Ref:R4 [5star]
Primordial Sharp Tome R5 | ATK:49 | ATK%:55 | Ref:R5 [5star]
Primordial Keen Tome | ATK:49 | CritRate:7 | Ref:R1 [5star]
Primordial Keen Tome R2 | ATK:49 | CritRate:14 | Ref:R2 [5star]
Primordial Keen Tome R3 | ATK:49 | CritRate:21 | Ref:R3 [5star]
Primordial Keen Tome R4 | ATK:49 | CritRate:28 | Ref:R4 [5star]
Primordial Keen Tome R5 | ATK:49 | CritRate:35 | Ref:R5 [5star]
Primordial Lethal Tome | ATK:49 | CritDMG:14 | Ref:R1 [5star]
Primordial Lethal Tome R2 | ATK:49 | CritDMG:28 | Ref:R2 [5star]
Primordial Lethal Tome R3 | ATK:49 | CritDMG:42 | Ref:R3 [5star]
Primordial Lethal Tome R4 | ATK:49 | CritDMG:56 | Ref:R4 [5star]
Primordial Lethal Tome R5 | ATK:49 | CritDMG:70 | Ref:R5 [5star]
Primordial Ancient Tome | ATK:49 | EM:44 | Ref:R1 [5star]
Primordial Ancient Tome R2 | ATK:49 | EM:88 | Ref:R2 [5star]
Primordial Ancient Tome R3 | ATK:49 | EM:132 | Ref:R3 [5star]
Primordial Ancient Tome R4 | ATK:49 | EM:176 | Ref:R4 [5star]
Primordial Ancient Tome R5 | ATK:49 | EM:220 | Ref:R5 [5star]
Primordial Flowing Tome | ATK:49 | ER:12 | Ref:R1 [5star]
Primordial Flowing Tome R2 | ATK:49 | ER:24 | Ref:R2 [5star]
Primordial Flowing Tome R3 | ATK:49 | ER:36 | Ref:R3 [5star]
Primordial Flowing Tome R4 | ATK:49 | ER:48 | Ref:R4 [5star]
Primordial Flowing Tome R5 | ATK:49 | ER:60 | Ref:R5 [5star]
Primordial Sturdy Tome | ATK:49 | HP%:11 | Ref:R1 [5star]
Primordial Sturdy Tome R2 | ATK:49 | HP%:22 | Ref:R2 [5star]
Primordial Sturdy Tome R3 | ATK:49 | HP%:33 | Ref:R3 [5star]
Primordial Sturdy Tome R4 | ATK:49 | HP%:44 | Ref:R4 [5star]
Primordial Sturdy Tome R5 | ATK:49 | HP%:55 | Ref:R5 [5star]
Primordial Guarded Tome | ATK:49 | DEF%:13 | Ref:R1 [5star]
Primordial Guarded Tome R2 | ATK:49 | DEF%:26 | Ref:R2 [5star]
Primordial Guarded Tome R3 | ATK:49 | DEF%:39 | Ref:R3 [5star]
Primordial Guarded Tome R4 | ATK:49 | DEF%:52 | Ref:R4 [5star]
Primordial Guarded Tome R5 | ATK:49 | DEF%:65 | Ref:R5 [5star]

