
Dafny program verifier finished with 18 verified, 0 errors
========================================
   MAGIC ITEMS CODEX - Dafny 4.11
========================================
Total items: 480

Ember Blade | Fire | Sword | Common | Power: 23
Grand Holy Dawn Aegis of Fortune | Light | Shield | Rare | Power: 43
Sovereign Aegis of Radiance | Light | Shield | Epic | Power: 63
Eternal Dawn Aegis of the Divine Order | Light | Shield | Legendary | Power: 93
Celestial Aegis, Dawning Star | Light | Shield | Mythical | Power: 143
Dawn Longbow | Light | Bow | Common | Power: 22
Holy Dawn Longbow of the Craft | Light | Bow | Uncommon | Power: 32
Grand Holy Dawn Longbow of Fortune | Light | Bow | Rare | Power: 42
Sovereign Longbow of Radiance | Light | Bow | Epic | Power: 62
Eternal Dawn Longbow of the Divine Order | Light | Bow | Legendary | Power: 92
Celestial Longbow, Dawning Star | Light | Bow | Mythical | Power: 142
Dawn Crown | Light | Helmet | Common | Power: 21
Holy Dawn Crown of the Craft | Light | Helmet | Uncommon | Power: 31
Grand Holy Dawn Crown of Fortune | Light | Helmet | Rare | Power: 41
Sovereign Crown of Radiance | Light | Helmet | Epic | Power: 61
Eternal Dawn Crown of the Divine Order | Light | Helmet | Legendary | Power: 91
Celestial Crown, Dawning Star | Light | Helmet | Mythical | Power: 141
Shadow Blade | Dark | Sword | Common | Power: 25
Cursed Shadow Blade of the Craft | Dark | Sword | Uncommon | Power: 35
Grand Cursed Shadow Blade of Fortune | Dark | Sword | Rare | Power: 45
Sovereign Blade of the Void | Dark | Sword | Epic | Power: 65
Eternal Shadow Blade of the Fallen Empire | Dark | Sword | Legendary | Power: 95
Celestial Blade, Eclipse of Souls | Dark | Sword | Mythical | Power: 145
Shadow Rod | Dark | Staff | Common | Power: 23
Cursed Shadow Rod of the Craft | Dark | Staff | Uncommon | Power: 33
Grand Cursed Shadow Rod of Fortune | Dark | Staff | Rare | Power: 43
Sovereign Rod of the Void | Dark | Staff | Epic | Power: 63
Eternal Shadow Rod of the Fallen Empire | Dark | Staff | Legendary | Power: 93
Celestial Rod, Eclipse of Souls | Dark | Staff | Mythical | Power: 143
Shadow Band | Dark | Ring | Common | Power: 21
Cursed Shadow Band of the Craft | Dark | Ring | Uncommon | Power: 31
Grand Cursed Shadow Band of Fortune | Dark | Ring | Rare | Power: 41
Sovereign Band of the Void | Dark | Ring | Epic | Power: 61
Eternal Shadow Band of the Fallen Empire | Dark | Ring | Legendary | Power: 91
Celestial Band, Eclipse of Souls | Dark | Ring | Mythical | Power: 141
Shadow Talisman | Dark | Amulet | Common | Power: 22
Cursed Shadow Talisman of the Craft | Dark | Amulet | Uncommon | Power: 32
Grand Cursed Shadow Talisman of Fortune | Dark | Amulet | Rare | Power: 42
Sovereign Talisman of the Void | Dark | Amulet | Epic | Power: 62
Eternal Shadow Talisman of the Fallen Empire | Dark | Amulet | Legendary | Power: 92
Celestial Talisman, Eclipse of Souls | Dark | Amulet | Mythical | Power: 142
Shadow Elixir | Dark | Potion | Common | Power: 19
Cursed Shadow Elixir of the Craft | Dark | Potion | Uncommon | Power: 29
Grand Cursed Shadow Elixir of Fortune | Dark | Potion | Rare | Power: 39
Sovereign Elixir of the Void | Dark | Potion | Epic | Power: 59
Eternal Shadow Elixir of the Fallen Empire | Dark | Potion | Legendary | Power: 89
Celestial Elixir, Eclipse of Souls | Dark | Potion | Mythical | Power: 139
Shadow Scepter | Dark | Wand | Common | Power: 24
Cursed Shadow Scepter of the Craft | Dark | Wand | Uncommon | Power: 34
Grand Cursed Shadow Scepter of Fortune | Dark | Wand | Rare | Power: 44
Sovereign Scepter of the Void | Dark | Wand | Epic | Power: 64
Eternal Shadow Scepter of the Fallen Empire | Dark | Wand | Legendary | Power: 94
Celestial Scepter, Eclipse of Souls | Dark | Wand | Mythical | Power: 144
Shadow Fang | Dark | Dagger | Common | Power: 20
Cursed Shadow Fang of the Craft | Dark | Dagger | Uncommon | Power: 30
Grand Cursed Shadow Fang of Fortune | Dark | Dagger | Rare | Power: 40
Sovereign Fang of the Void | Dark | Dagger | Epic | Power: 60
Eternal Shadow Fang of the Fallen Empire | Dark | Dagger | Legendary | Power: 90
Celestial Fang, Eclipse of Souls | Dark | Dagger | Mythical | Power: 140
Shadow Aegis | Dark | Shield | Common | Power: 23
Cursed Shadow Aegis of the Craft | Dark | Shield | Uncommon | Power: 33
Grand Cursed Shadow Aegis of Fortune | Dark | Shield | Rare | Power: 43
Sovereign Aegis of the Void | Dark | Shield | Epic | Power: 63
Eternal Shadow Aegis of the Fallen Empire | Dark | Shield | Legendary | Power: 93
Celestial Aegis, Eclipse of Souls | Dark | Shield | Mythical | Power: 143
Shadow Longbow | Dark | Bow | Common | Power: 22
Cursed Shadow Longbow of the Craft | Dark | Bow | Uncommon | Power: 32
Grand Cursed Shadow Longbow of Fortune | Dark | Bow | Rare | Power: 42
Sovereign Longbow of the Void | Dark | Bow | Epic | Power: 62
Eternal Shadow Longbow of the Fallen Empire | Dark | Bow | Legendary | Power: 92
Celestial Longbow, Eclipse of Souls | Dark | Bow | Mythical | Power: 142
Shadow Crown | Dark | Helmet | Common | Power: 21
Cursed Shadow Crown of the Craft | Dark | Helmet | Uncommon | Power: 31
Grand Cursed Shadow Crown of Fortune | Dark | Helmet | Rare | Power: 41
Sovereign Crown of the Void | Dark | Helmet | Epic | Power: 61
Eternal Shadow Crown of the Fallen Empire | Dark | Helmet | Legendary | Power: 91
Celestial Crown, Eclipse of Souls | Dark | Helmet | Mythical | Power: 141
