
Dafny program verifier finished with 17 verified, 0 errors
Total locations generated: 384

Hidden Verdant Metropolis | Biome: Forest | Type: City | Size: Tiny | Danger: 5
Quiet Windswept Sanctuary | Biome: Plains | Type: Temple | Size: Small | Danger: 10
Windswept Sanctuary | Biome: Plains | Type: Temple | Size: Medium | Danger: 15
Grand Windswept Sanctuary | Biome: Plains | Type: Temple | Size: Large | Danger: 20
Endless Windswept Sanctuary | Biome: Plains | Type: Temple | Size: Vast | Danger: 25
Titanic Windswept Sanctuary | Biome: Plains | Type: Temple | Size: Colossal | Danger: 30
Hidden Windswept Grotto | Biome: Plains | Type: Cave | Size: Tiny | Danger: 5
Quiet Windswept Grotto | Biome: Plains | Type: Cave | Size: Small | Danger: 10
Windswept Grotto | Biome: Plains | Type: Cave | Size: Medium | Danger: 15
Grand Windswept Grotto | Biome: Plains | Type: Cave | Size: Large | Danger: 20
Endless Windswept Grotto | Biome: Plains | Type: Cave | Size: Vast | Danger: 25
Titanic Windswept Grotto | Biome: Plains | Type: Cave | Size: Colossal | Danger: 30
Hidden Windswept Watch of the Horizon | Biome: Plains | Type: Outpost | Size: Tiny | Danger: 5
Quiet Windswept Watch of the Horizon | Biome: Plains | Type: Outpost | Size: Small | Danger: 10
Windswept Watch of the Horizon | Biome: Plains | Type: Outpost | Size: Medium | Danger: 15
Grand Windswept Watch of the Horizon | Biome: Plains | Type: Outpost | Size: Large | Danger: 20
Endless Windswept Watch of the Horizon | Biome: Plains | Type: Outpost | Size: Vast | Danger: 25
Titanic Windswept Watch of the Horizon | Biome: Plains | Type: Outpost | Size: Colossal | Danger: 30
Hidden Scorched Metropolis | Biome: Volcano | Type: City | Size: Tiny | Danger: 20
Quiet Scorched Metropolis | Biome: Volcano | Type: City | Size: Small | Danger: 40
Scorched Metropolis | Biome: Volcano | Type: City | Size: Medium | Danger: 60
Grand Scorched Metropolis | Biome: Volcano | Type: City | Size: Large | Danger: 80
Endless Scorched Metropolis | Biome: Volcano | Type: City | Size: Vast | Danger: 100
Titanic Scorched Metropolis | Biome: Volcano | Type: City | Size: Colossal | Danger: 120
Hidden Scorched Hamlet | Biome: Volcano | Type: Village | Size: Tiny | Danger: 20
Quiet Scorched Hamlet | Biome: Volcano | Type: Village | Size: Small | Danger: 40
Scorched Hamlet | Biome: Volcano | Type: Village | Size: Medium | Danger: 60
Grand Scorched Hamlet | Biome: Volcano | Type: Village | Size: Large | Danger: 80
Endless Scorched Hamlet | Biome: Volcano | Type: Village | Size: Vast | Danger: 100
Titanic Scorched Hamlet | Biome: Volcano | Type: Village | Size: Colossal | Danger: 120
Hidden Scorched Remnants | Biome: Volcano | Type: Ruins | Size: Tiny | Danger: 20
Quiet Scorched Remnants | Biome: Volcano | Type: Ruins | Size: Small | Danger: 40
Scorched Remnants | Biome: Volcano | Type: Ruins | Size: Medium | Danger: 60
Grand Scorched Remnants | Biome: Volcano | Type: Ruins | Size: Large | Danger: 80
Endless Scorched Remnants | Biome: Volcano | Type: Ruins | Size: Vast | Danger: 100
Titanic Scorched Remnants | Biome: Volcano | Type: Ruins | Size: Colossal | Danger: 120
Hidden Scorched Labyrinth of Doom | Biome: Volcano | Type: Dungeon | Size: Tiny | Danger: 20
Quiet Scorched Labyrinth of Doom | Biome: Volcano | Type: Dungeon | Size: Small | Danger: 40
Scorched Labyrinth of Doom | Biome: Volcano | Type: Dungeon | Size: Medium | Danger: 60
Grand Scorched Labyrinth of Doom | Biome: Volcano | Type: Dungeon | Size: Large | Danger: 80
Endless Scorched Labyrinth of Doom | Biome: Volcano | Type: Dungeon | Size: Vast | Danger: 100
Titanic Scorched Labyrinth of Doom | Biome: Volcano | Type: Dungeon | Size: Colossal | Danger: 120
Hidden Scorched Bastion | Biome: Volcano | Type: Fortress | Size: Tiny | Danger: 20
Quiet Scorched Bastion | Biome: Volcano | Type: Fortress | Size: Small | Danger: 40
Scorched Bastion | Biome: Volcano | Type: Fortress | Size: Medium | Danger: 60
Grand Scorched Bastion | Biome: Volcano | Type: Fortress | Size: Large | Danger: 80
Endless Scorched Bastion | Biome: Volcano | Type: Fortress | Size: Vast | Danger: 100
Titanic Scorched Bastion | Biome: Volcano | Type: Fortress | Size: Colossal | Danger: 120
Hidden Scorched Sanctuary | Biome: Volcano | Type: Temple | Size: Tiny | Danger: 20
Quiet Scorched Sanctuary | Biome: Volcano | Type: Temple | Size: Small | Danger: 40
Scorched Sanctuary | Biome: Volcano | Type: Temple | Size: Medium | Danger: 60
Grand Scorched Sanctuary | Biome: Volcano | Type: Temple | Size: Large | Danger: 80
Endless Scorched Sanctuary | Biome: Volcano | Type: Temple | Size: Vast | Danger: 100
Titanic Scorched Sanctuary | Biome: Volcano | Type: Temple | Size: Colossal | Danger: 120
Hidden Scorched Grotto | Biome: Volcano | Type: Cave | Size: Tiny | Danger: 20
Quiet Scorched Grotto | Biome: Volcano | Type: Cave | Size: Small | Danger: 40
Scorched Grotto | Biome: Volcano | Type: Cave | Size: Medium | Danger: 60
Grand Scorched Grotto | Biome: Volcano | Type: Cave | Size: Large | Danger: 80
Endless Scorched Grotto | Biome: Volcano | Type: Cave | Size: Vast | Danger: 100
Titanic Scorched Grotto | Biome: Volcano | Type: Cave | Size: Colossal | Danger: 120
Hidden Scorched Watch | Biome: Volcano | Type: Outpost | Size: Tiny | Danger: 20
Quiet Scorched Watch | Biome: Volcano | Type: Outpost | Size: Small | Danger: 40
Scorched Watch | Biome: Volcano | Type: Outpost | Size: Medium | Danger: 60
Grand Scorched Watch | Biome: Volcano | Type: Outpost | Size: Large | Danger: 80
Endless Scorched Watch | Biome: Volcano | Type: Outpost | Size: Vast | Danger: 100
Titanic Scorched Watch | Biome: Volcano | Type: Outpost | Size: Colossal | Danger: 120
